,0
264,3.693125861729368e-05
265,3.693125861729368e-05
266,3.693125861729368e-05
267,3.693125861729368e-05
268,3.693125861729368e-05
269,3.693125861729368e-05
270,3.693125861729368e-05
271,3.693125861729368e-05
272,3.693125861729368e-05
273,3.693125861729368e-05
274,3.693125861729368e-05
275,3.693125861729368e-05
276,3.693125861729368e-05
277,3.693125861729368e-05
278,3.693125861729368e-05
279,3.693125861729368e-05
280,3.693125861729368e-05
281,3.693125861729368e-05
282,3.693125861729368e-05
283,3.693125861729368e-05
284,3.693125861729368e-05
285,3.693125861729368e-05
286,3.693125861729368e-05
287,3.693125861729368e-05
288,3.693125861729368e-05
289,3.693125861729368e-05
290,3.693125861729368e-05
291,3.693125861729368e-05
292,3.693125861729368e-05
293,3.693125861729368e-05
294,3.693125861729368e-05
295,3.693125861729368e-05
296,3.693125861729368e-05
297,3.693125861729368e-05
298,3.693125861729368e-05
299,3.693125861729368e-05
300,3.693125861729368e-05
301,3.693125861729368e-05
302,3.693125861729368e-05
303,3.693125861729368e-05
304,3.693125861729368e-05
305,3.693125861729368e-05
306,3.693125861729368e-05
307,3.693125861729368e-05
308,3.693125861729368e-05
309,3.693125861729368e-05
310,3.693125861729368e-05
311,3.693125861729368e-05
312,3.693125861729368e-05
313,3.693125861729368e-05
314,3.693125861729368e-05
315,3.693125861729368e-05
316,3.693125861729368e-05
317,3.693125861729368e-05
318,3.693125861729368e-05
319,3.693125861729368e-05
320,3.693125861729368e-05
321,3.693125861729368e-05
322,3.693125861729368e-05
323,3.693125861729368e-05
324,3.693125861729368e-05
325,3.693125861729368e-05
326,3.693125861729368e-05
327,3.693125861729368e-05
328,3.693125861729368e-05
329,3.693125861729368e-05
330,3.693125861729368e-05
331,3.693125861729368e-05
332,3.693125861729368e-05
333,3.693125861729368e-05
334,3.693125861729368e-05
335,3.693125861729368e-05
336,3.693125861729368e-05
337,3.693125861729368e-05
338,3.693125861729368e-05
339,3.693125861729368e-05
340,3.693125861729368e-05
341,3.693125861729368e-05
342,3.693125861729368e-05
343,3.693125861729368e-05
344,3.693125861729368e-05
345,3.693125861729368e-05
346,3.693125861729368e-05
347,3.693125861729368e-05
348,3.693125861729368e-05
349,3.693125861729368e-05
350,3.693125861729368e-05
351,3.693125861729368e-05
352,3.693125861729368e-05
353,3.693125861729368e-05
354,3.693125861729368e-05
355,3.693125861729368e-05
356,3.693125861729368e-05
357,3.693125861729368e-05
358,3.693125861729368e-05
359,3.693125861729368e-05
360,3.693125861729368e-05
361,3.693125861729368e-05
362,3.693125861729368e-05
363,3.693125861729368e-05
364,3.693125861729368e-05
365,3.693125861729368e-05
366,3.693125861729368e-05
367,3.693125861729368e-05
368,3.693125861729368e-05
369,3.693125861729368e-05
370,3.693125861729368e-05
371,3.693125861729368e-05
372,3.693125861729368e-05
373,3.693125861729368e-05
374,3.693125861729368e-05
375,3.693125861729368e-05
376,3.693125861729368e-05
377,3.693125861729368e-05
378,3.693125861729368e-05
379,3.693125861729368e-05
380,3.693125861729368e-05
381,3.693125861729368e-05
382,3.693125861729368e-05
383,3.693125861729368e-05
384,3.693125861729368e-05
385,3.693125861729368e-05
386,3.693125861729368e-05
387,3.693125861729368e-05
388,3.693125861729368e-05
389,3.693125861729368e-05
390,3.693125861729368e-05
391,3.693125861729368e-05
392,3.693125861729368e-05
